Estação,N__Lab_,X,Y,Folha,Ag (ppm),Al (%),As (ppm),Ba (ppm),Be,Bi (ppm),Ca (%),Cd (ppm),Ce (ppm),Co (ppm),Cr (ppm),Cs (ppm),Cu (ppm),Fe (%),Ga (ppm),Hf (ppm),Hg (ppm),In (ppm),K (%),La (ppm),Li (ppm),LREE (ppm),Mg (%),Mn (ppm),Mo (ppm),Nb (ppm),Ni (ppm),P (ppm),Pb (ppm),Rb (ppm),Sb (ppm),Sc (ppm),Sn (ppm),Sr (ppm),Th (ppm),Ti (%),U (ppm),V (ppm),W (ppm),Y (ppm),Zn (ppm),Zr (ppm)
SM-0170A,CDI 249,313640,7946063,Patos de Minas,0.04,1.4,13.0,99.0,0.5,0.33,0.06,0.24,73.98,15.3,53,1.04,29.3,4.45,6.6,0.33,0.03,0.04,0.18,34.2,10.0,108.18,0.12,494,0.86,0.64,32.4,453.0,29.5,10.8,1.39,4.9,1.3,18.9,10.7,0.03,0.99,73,0.5,6.56,50,10.8
SM-0171,CDI 250,310803,7944228,Patos de Minas,0.05,0.97,11.0,49.0,0.5,0.31,0.03,0.15,71.15,10.5,24,1.34,36.1,4.45,4.8,0.29,0.01,0.02,0.16,29.8,4.0,100.95,0.07,225,0.63,0.3,16.6,174.0,25.1,13.0,0.36,2.8,0.8,7.1,11.5,0.01,1.11,31,0.4,7.15,34,9.2
SM-0172,CDI 251,306601,7942737,Patos de Minas,0.03,1.97,3.0,19.0,0.2,0.11,0.01,0.08,20.66,0.9,21,0.58,7.1,1.58,6.9,0.05,0.01,0.03,0.05,9.7,1.0,30.36,0.01,33,0.54,0.37,3.1,143.0,10.9,4.6,0.2,2.9,1.4,2.2,4.1,0.01,0.47,40,0.4,1.95,6,3.3
SM-0173,CDI 252,307462,7943214,Patos de Minas,0.08,6.39,6.0,8.0,0.3,0.3,0.01,0.64,40.63,0.5,53,0.53,14.9,3.33,19.6,0.37,0.01,0.07,0.02,19.5,1.0,60.13,0.01,43,1.63,0.55,7.0,281.0,25.9,1.4,0.41,8.2,3.3,0.9,7.0,0.02,0.51,89,1.2,5.31,7,14.0
SM-0174,CDI 253,312050,7949144,Patos de Minas,0.09,1.5,16.0,700.0,1.6,0.36,0.25,0.2,132.79,34.6,65,3.92,51.9,7.84,8.8,0.92,0.01,0.05,0.38,71.1,16.0,203.89,0.31,862,1.01,0.75,76.5,2051.0,37.3,26.8,0.7,10.5,3.0,112.2,15.9,0.18,2.33,97,0.4,12.63,78,39.8
SM-0175,CDI 254,313552,7951931,Patos de Minas,0.01,1.47,14.0,96.0,0.6,0.39,0.09,0.18,77.81,18.4,27,1.64,37.3,4.61,6.0,0.28,0.01,0.02,0.32,41.2,25.0,119.01,0.38,667,0.88,0.36,29.3,327.0,45.4,15.5,0.45,3.0,1.1,16.8,11.8,0.01,1.0,40,0.4,7.7,75,9.0
SM-0176,CDI 255,323968,7941298,Patos de Minas,0.03,3.08,11.0,113.0,1.7,0.44,0.05,0.12,91.85,25.6,51,3.51,39.7,5.93,14.0,0.36,0.03,0.06,0.24,36.0,14.0,127.85,0.07,842,0.72,0.7,39.0,573.0,42.1,23.0,0.91,8.3,2.1,6.0,10.3,0.02,1.44,84,0.6,11.37,60,10.9
SM-0177,CDI 256,323289,7940361,Patos de Minas,0.03,1.68,8.0,98.0,1.1,0.36,0.07,0.06,82.56,14.4,35,1.45,30.5,4.81,8.6,0.19,0.04,0.04,0.16,45.3,5.0,127.86,0.04,582,0.6,0.42,22.4,494.0,31.7,13.8,0.68,5.3,1.3,6.0,7.9,0.01,1.0,49,0.3,15.48,43,5.6
SQ-0001,CDE374,291351,7915894,Patos de Minas,0.07,0.87,6.0,46.0,0.5,0.11,0.02,0.04,21.95,6.1,21,0.49,15.5,3.06,3.4,0.09,0.08,0.02,0.09,9.6,1.0,31.55,0.02,179,0.83,0.31,12.9,236.0,12.1,5.1,0.25,2.9,0.6,4.9,4.4,0.01,0.72,33,0.2,1.88,20,4.6
SQ-0002,CDE375,294556,7913169,Patos de Minas,0.08,10.09,9.0,62.0,1.6,0.51,0.03,0.06,72.73,5.8,88,6.13,32.5,5.08,31.3,0.42,0.03,0.12,0.09,20.0,7.0,92.73,0.03,152,1.48,1.04,15.6,434.0,18.3,13.8,0.87,16.6,4.3,4.4,16.1,0.03,1.97,146,0.3,3.97,22,25.2
